Geography,Year,Total_Est,Total_EstErr,HispanicLatino_Est,HispanicLatino_EstErr,HispanicLatino_Pct,HispanicLatino_PctErr,WhiteAlone_Est,WhiteAlone_EstErr,WhiteAlone_Pct,WhiteAlone_PctErr,BlackAlone_Est,BlackAlone_EstErr,BlackAlone_Pct,BlackAlone_PctErr,IndianAlaskaAlone_Est,IndianAlaskaAlone_EstErr,IndianAlaskaAlone_Pct,IndianAlaskaAlone_PctErr,AsianAlone_Est,AsianAlone_EstErr,AsianAlone_Pct,AsianAlone_PctErr,HawaiianPacificAlone_Est,HawaiianPacific_EstErr,HawaiianPacific_Pct,HawaiianPacific_PctErr,MedianHouseholdIncome_Est,MedianHouseholdIncome_EstErr,MeanHouseholdIncome_Est,MeanHouseholdIncome_EstErr,MedianFamilyIncome_Est,MedianFamilyIncome_EstErr,MeanFamilyIncome_Est,MeanFamilyIncome_EstErr,PercapitaIncome_Est,PercapitaIncome_EstErr,PovertyRate_Est,PovertyRate_EstErr,,
Escondido city,"2,016 ","151,594 ",80 ,"80,614 ","5,530 ",53 ,4 ,"49,284 ","4,922 ",33 ,3 ,"4,369 ","1,516 ",3 ,1 ,424 ,373 ,0 ,0 ,"11,847 ","3,203 ",8 ,2 ,960 ,789 ,1 ,1 ,"60,328 ","3,258 ","76,994 ","4,570 ","62,792 ","6,176 ","83,559 ","5,264 ","25,023 ","1,354 ",15 ,3 ,,
Oceanside city,"2,016 ","175,441 ",87 ,"64,536 ","7,368 ",37 ,4 ,"82,488 ","6,468 ",47 ,4 ,"6,873 ","2,638 ",4 ,2 ,388 ,272 ,0 ,0 ,"12,004 ","2,595 ",7 ,2 ,"1,685 ","1,565 ",1 ,1 ,"60,487 ","2,558 ","77,409 ","3,793 ","66,645 ","6,292 ","86,954 ","4,930 ","28,894 ","1,704 ",11 ,3 ,,
San Diego city,"2,016 ","1,406,622 ",73 ,"421,965 ","13,728 ",30 ,1 ,"602,167 ","12,280 ",43 ,1 ,"86,405 ","5,974 ",6 ,0 ,"1,958 ",853 ,0 ,0 ,"236,310 ","9,738 ",17 ,1 ,"4,907 ","1,991 ",0 ,0 ,"71,481 ","1,831 ","99,064 ","2,631 ","83,167 ","2,739 ","113,625 ","3,913 ","36,954 ",952 ,13 ,1 ,,
San Marcos city,"2,016 ","95,268 ",40 ,"33,752 ","4,925 ",35 ,5 ,"43,513 ","5,159 ",46 ,5 ,"3,700 ","2,043 ",4 ,2 ,"1,241 ","1,487 ",1 ,2 ,"9,254 ","3,168 ",10 ,3 ,737 ,669 ,1 ,1 ,"81,709 ","5,868 ","97,678 ","7,250 ","85,897 ","13,013 ","105,309 ","9,437 ","30,603 ","2,817 ",12 ,4 ,,
Vista city,"2,016 ","101,665 ",43 ,"55,657 ","5,383 ",55 ,5 ,"37,066 ","4,776 ",37 ,5 ,"2,059 ",865 ,2 ,1 ,155 ,181 ,0 ,0 ,"4,032 ","1,486 ",4 ,2 ,69 ,157 ,0 ,0 ,"61,433 ","4,549 ","78,948 ","6,253 ","64,980 ","7,587 ","81,816 ","6,635 ","25,783 ","2,509 ",14 ,4 ,,
San Diego County,"2,017 ","3,337,685 ",*****,"1,129,970 ",*****,34 ,*****,"1,512,229 ","1,496 ",45 ,0 ,"153,740 ","4,208 ",5 ,0 ,"12,699 ","1,967 ",0 ,0 ,"394,340 ","5,689 ",12 ,0 ,"12,808 ","1,530 ",0 ,0 ,"76,207 ","1,049 ","103,215 ","1,759 ","87,281 ","1,225 ","115,862 ","2,411 ","36,697 ",589 ,12 ,1 ,,
Carlsbad city,"2,017 ","115,326 ",43 ,"16,571 ","4,046 ",14 ,4 ,"83,928 ","4,339 ",73 ,4 ,900 ,880 ,1 ,1 ,190 ,245 ,0 ,0 ,"9,781 ","3,315 ",9 ,3 ,317 ,495 ,0 ,0 ,"101,646 ","4,679 ","141,731 ","11,476 ","121,266 ","10,804 ","160,569 ","14,387 ","56,821 ","4,279 ",6 ,2 ,,
Chula Vista city,"2,017 ","270,450 ",88 ,"161,543 ","9,146 ",60 ,3 ,"46,145 ","5,953 ",17 ,2 ,"15,078 ","4,427 ",6 ,2 ,144 ,187 ,0 ,0 ,"36,273 ","7,895 ",13 ,3 ,"2,010 ","1,309 ",1 ,1 ,"77,273 ","5,164 ","98,306 ","11,685 ","85,490 ","6,248 ","106,143 ","14,084 ","30,974 ","3,409 ",12 ,2 ,,
El Cajon city,"2,017 ","103,906 ",47 ,"28,935 ","4,790 ",28 ,5 ,"60,156 ","4,721 ",58 ,5 ,"5,537 ","1,979 ",5 ,2 ,84 ,104 ,0 ,0 ,"4,629 ","1,654 ",5 ,2 ,173 ,204 ,0 ,0 ,"50,312 ","4,223 ","70,044 ","5,233 ","60,919 ","7,995 ","79,848 ","6,645 ","24,167 ","1,643 ",21 ,4 ,,
Escondido city,"2,017 ","151,979 ",43 ,"80,502 ","5,715 ",53 ,4 ,"55,900 ","5,177 ",37 ,3 ,"2,594 ","1,075 ",2 ,1 ,67 ,108 ,0 ,0 ,"7,467 ","2,241 ",5 ,2 ,157 ,159 ,0 ,0 ,"62,210 ","5,245 ","82,583 ","6,376 ","67,595 ","7,182 ","88,290 ","7,702 ","27,037 ","2,302 ",12 ,3 ,,
